Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,14,403.2000000001863,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,873,494,397.8087581473094,-111.06368174878963,1
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,15,330.79999999981374,764.3704798532389,519.0823381635519,1160.0,477.5,1064,487,397.8087581473093,-96.46712235639691,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,1,752.1000000000931,1160.0,477.5,764.3704798532389,435.9176618364481,853,459,397.8087581473093,-90.55675969879783,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,2,811.8999999999069,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1055,519,397.8087581473095,-95.72980475905486,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,3,882.1000000000931,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,872,416,397.8087581473094,-91.94414354062404,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,4,854.0,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1040,563,397.8087581473093,-82.2421261917807,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,5,772.1999999999534,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,906,401,397.8087581473094,-105.27417538017764,1
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,6,722.0,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,1002,580,397.8087581473094,-88.18303065610446,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,7,761.6999999999534,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,953,360,397.8087581473094,-82.5166541517082,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,8,693.2000000001863,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,944,588,397.8087581473094,-88.4043790736547,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,9,751.8999999999069,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,1006,367,397.8087581473094,-81.25513141495223,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,10,672.8000000000466,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,899,571,397.8087581473094,-88.67694355644772,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,11,643.3999999999069,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1029,414,397.8087581473095,-106.97461752266491,1
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,12,532.9000000001397,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,873,545,397.8087581473093,-89.08446332789832,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,13,611.7999999998137,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1067,424,397.8087581473093,-79.48966086871978,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,14,803.2000000001863,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,857,490,397.8087581473094,-97.08284546556698,0
P0,S3,C2,Dominant,Mouse,God,400,50,15,0,15,681.5,764.3704798532389,519.0823381635519,1160.0,477.5,1076,478,397.8087581473093,-83.5921034425688,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,1,521.9000000001397,1160.0,477.5,764.3704798532389,435.9176618364481,851,452,397.8087581473093,-87.8360166651877,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,2,482.29999999981374,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1053,520,397.8087581473095,-97.3229007972702,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,3,411.7000000001863,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,872,409,397.8087581473094,-88.44414354062403,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,4,582.7999999998137,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1034,558,397.8087581473093,-90.04664817643933,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,5,521.3000000000466,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,902,384,397.8087581473094,-89.16974546663367,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,6,581.8000000000466,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,994,577,397.8087581473094,-94.17756017363868,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,7,403.19999999995343,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,951,377,397.8087581473094,-98.72933998254736,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,8,511.9000000001397,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,944,588,397.8087581473094,-88.4043790736547,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,9,512.0,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,994,363,397.8087581473094,-79.8374813018301,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,10,552.0999999998603,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,914,573,397.8087581473094,-92.95090228729951,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,11,432.80000000004657,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1046,395,397.8087581473095,-81.61094534056889,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,12,441.10000000009313,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,877,551,397.8087581473093,-88.04225899165475,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,13,501.79999999981374,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1060,432,397.8087581473093,-89.55183869521083,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,14,492.30000000004657,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,860,498,397.8087581473094,-97.46387905945284,0
P0,S4,C1,Dominant,Mouse,Intermediate,400,50,15,0,15,443.10000000009313,764.3704798532389,519.0823381635519,1160.0,477.5,1077,473,397.8087581473093,-82.07493923086226,0
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,1,833.2999999998137,1160.0,477.5,764.3704798532389,435.9176618364481,842,450,397.8087581473093,-78.67626268033794,0
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,2,671.7000000001863,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1064,526,397.8087581473095,-85.0071771517738,0
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,3,703.1999999999534,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,867,410,397.8087581473094,-84.61401652170183,0
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,4,950.6999999999534,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1034,554,397.8087581473093,-92.72317060187476,0
P0,S4,C2,Dominant,Mouse,God,400,50,15,0,5,542.1000000000931,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,885,372,397.8087581473094,-69.46919224516226,1
